 n_tracks  m_inv_GeV  N_e  N_mu  N_K  N_p
        2   2.513478    0     0    0    0
        2   2.496708    0     0    0    0
        2   2.459454    0     0    0    0
        2   2.540910    0     0    0    1
        2   2.494278    0     0    0    0
        2   2.459966    0     0    0    1
        2   2.409721    0     0    0    0
        2   2.544099    0     0    0    2
        2   2.474677    0     0    0    0
        2   2.553963    0     0    0    0
        2   2.437597    0     0    0    1
        2   2.391367    0     0    0    2
        2   2.519492    0     0    0    0
        2   2.541733    0     0    0    0
        2   2.522228    0     0    0    1
        2   2.584416    0     0    0    1
        2   2.599457    0     0    0    1
        2   2.349771    0     0    0    0
        2   2.509627    0     0    0    2
        2   2.500227    0     0    0    2
        2   2.487873    0     0    0    1
        2   2.426632    0     0    0    0
        2   2.441781    0     0    0    1
        2   2.537797    0     0    0    1
        2   2.561973    0     0    0    1
        2   2.521246    0     0    0    1
        2   2.436100    0     0    0    0
        2   2.301682    0     0    0    1
        2   2.454953    0     0    0    1
        2   2.438796    0     0    0    0
        2   2.414010    0     0    0    0
        2   2.603221    0     0    0    0
        2   2.515460    0     0    0    1
        2   2.488973    0     0    0    1
        2   2.470690    0     0    0    2
        2   2.521946    0     0    0    1
        2   2.481507    0     0    0    1
        2   2.452623    0     0    0    0
        2   2.562789    0     0    0    1
        2   2.431275    0     0    0    0
        2   2.498443    0     0    0    1
        2   2.510146    0     0    0    1
        2   2.520260    0     0    0    0
        2   2.542514    0     0    0    0
        2   2.389037    0     0    0    0
        2   2.465293    0     0    0    1
        2   2.527427    0     0    0    1
        2   2.473779    0     0    0    1
        2   2.483672    0     0    0    0
        2   2.455999    0     0    0    1
        2   2.495110    0     0    0    0
        2   2.460873    0     0    0    1
        2   2.516644    0     0    0    1
        2   2.408799    0     0    0    1
        2   2.531868    0     0    0    1
        2   2.427034    0     0    0    1
        2   2.410036    0     0    0    1
        2   2.412797    0     0    0    0
        2   2.517914    0     0    0    0
        2   2.511922    0     0    0    1
        2   2.502726    0     0    0    0
        2   2.511887    0     0    0    0
        2   2.474290    0     0    0    1
        2   2.408797    0     0    0    1
        2   2.560983    0     0    0    1
        2   2.457807    0     0    0    1
        2   2.577591    0     0    0    0
        2   2.479143    0     0    0    0
        2   2.429479    0     0    0    1
        2   2.432761    0     0    0    0
        2   2.472731    0     0    0    1
        2   2.466395    0     0    0    0
        2   2.498050    0     0    0    1
        2   2.416141    0     0    0    0
        2   2.489207    0     0    0    1
        2   2.437737    0     0    0    0
        2   2.485783    0     0    0    1
        2   2.486963    0     0    0    0
        2   2.483106    0     0    0    0
        2   2.484045    0     0    0    0
        2   2.547477    0     0    0    1
        2   2.573780    0     0    0    1
        2   2.499602    0     0    0    1
        2   2.471778    0     0    0    1
        2   2.519144    0     0    0    0
        2   2.470648    0     0    0    1
        2   2.467957    0     0    0    1
        2   2.408128    0     0    0    0
        2   2.414822    0     0    0    1
        2   2.403811    0     0    0    0
        2   2.471686    0     0    0    1
        2   2.482438    0     0    0    2
        2   2.463612    0     0    0    2
        2   2.513531    0     0    0    1
        2   2.485547    0     0    0    0
        2   2.530555    0     0    0    0
        2   2.453771    0     0    0    1
        2   2.430460    0     0    0    1
        2   2.435958    0     0    0    0
        2   2.453549    0     0    0    0
        2   2.521349    0     0    0    1
        2   2.403171    0     0    0    1
        2   2.427630    0     0    0    0
        2   2.484656    0     0    0    2
        2   2.322955    0     0    0    2
        2   2.478552    0     0    0    1
        2   2.493703    0     0    0    0
        2   2.375956    0     0    0    0
        2   2.394025    0     0    0    2
        2   2.431256    0     0    0    0
        2   2.532604    0     0    0    2
        2   2.454507    0     0    0    0
        2   2.446378    0     0    0    2
        2   2.405792    0     0    0    2
        2   2.490858    0     0    0    1
        2   2.437105    0     0    0    1
        2   2.416066    0     0    0    0
        2   2.472595    0     0    0    2
        2   2.580909    0     0    0    0
        2   2.465212    0     0    0    1
        2   2.543997    0     0    0    0
        2   2.412183    0     0    0    1
        2   2.520298    0     0    0    1
        2   2.472378    0     0    0    0
        2   2.494185    0     0    0    1
        2   2.503193    0     0    0    2
        2   2.467648    0     0    0    1
        2   2.480118    0     0    0    1
        2   2.502909    0     0    0    2
        2   2.499332    0     0    0    0
        2   2.518061    0     0    0    2
        2   2.451835    0     0    0    1
        2   2.498303    0     0    0    1
        2   2.573996    0     0    0    1
        2   2.557002    0     0    0    1
        2   2.410954    0     0    0    1
        2   2.479224    0     0    0    0
        2   2.468945    0     0    0    0
        2   2.601978    0     0    0    1
        2   2.516210    0     0    0    0
        2   2.574825    0     0    0    0
        2   2.484270    0     0    0    2
        2   2.484772    0     0    0    2
        2   2.417913    0     0    0    0
        2   2.513758    0     0    0    1
        2   2.468687    0     0    0    0
        2   2.423846    0     0    0    0
        2   2.368980    0     0    0    2
        2   2.465085    0     0    0    0
        2   2.491654    0     0    0    2
        2   2.588126    0     0    0    2
        2   2.480849    0     0    0    1
        2   2.510560    0     0    0    1
        2   2.400632    0     0    0    0
        2   2.453652    0     0    0    0
        2   2.374010    0     0    0    1
        2   2.442221    0     0    0    2
        2   2.569013    0     0    0    0
        2   2.314211    0     0    0    0
        2   2.446037    0     0    0    1
        2   2.478850    0     0    0    2
        2   2.460160    0     0    0    1
        2   2.479873    0     0    0    1
        2   2.508714    0     0    0    2
        2   2.460907    0     0    0    0
        2   2.570678    0     0    0    0
        2   2.503150    0     0    0    1
        2   2.398668    0     0    0    0
        2   2.468454    0     0    0    1
        2   2.349114    0     0    0    0
        2   2.455773    0     0    0    1
        2   2.467870    0     0    0    0
        2   2.455158    0     0    0    0
        2   2.441954    0     0    0    2
        2   2.491970    0     0    0    2
        2   2.432990    0     0    0    0
        2   2.465801    0     0    0    1
        2   2.392898    0     0    0    0
        2   2.405553    0     0    0    0
        2   2.474212    0     0    0    1
        2   2.542711    0     0    0    1
        2   2.474597    0     0    0    0
        2   2.530860    0     0    0    0
        2   2.413835    0     0    0    1
        2   2.500059    0     0    0    0
        2   2.597872    0     0    0    0
        2   2.572151    0     0    0    0
        2   2.482450    0     0    0    0
        2   2.431364    0     0    0    0
        2   2.611535    0     0    0    0
        2   2.545736    0     0    0    1
        2   2.506876    0     0    0    2
        2   2.441323    0     0    0    1
        2   2.568294    0     0    0    0
        2   2.568169    0     0    0    1
        2   2.465166    0     0    0    0
        2   2.480554    0     0    0    0
        2   2.567403    0     0    0    2
        2   2.458199    0     0    0    0
        2   2.562324    0     0    0    0
        2   2.405806    0     0    0    1
        2   2.419334    0     0    0    0
        2   2.569548    0     0    0    1
        2   2.497403    0     0    0    2
        2   2.582681    0     0    0    1
        2   2.411267    0     0    0    0
        2   2.509304    0     0    0    2
        2   2.439272    0     0    0    0
        2   2.467814    0     0    0    0
        2   2.544041    0     0    0    0
        2   2.527970    0     0    0    1
        2   2.473041    0     0    0    0
        2   2.570235    0     0    0    1
        2   2.484708    0     0    0    1
        2   2.491177    0     0    0    0
        2   2.460493    0     0    0    1
        2   2.635238    0     0    0    0
        2   2.483678    0     0    0    0
        2   2.392991    0     0    0    0
        2   2.600509    0     0    0    0
        2   2.478132    0     0    0    0
        2   2.508311    0     0    0    0
        2   2.501140    0     0    0    0
        2   2.451204    0     0    0    1
        2   2.456545    0     0    0    1
        2   2.625146    0     0    0    1
        2   2.502834    0     0    0    0
        2   2.543123    0     0    0    0
        2   2.521172    0     0    0    0
        2   2.417827    0     0    0    2
        2   2.411186    0     0    0    0
        2   2.481945    0     0    0    1
        2   2.550122    0     0    0    1
        2   2.374640    0     0    0    0
        2   2.534961    0     0    0    1
        2   2.462014    0     0    0    1
        2   2.427689    0     0    0    1
        2   2.567170    0     0    0    0
        2   2.527809    0     0    0    0
        2   2.455217    0     0    0    1
        2   2.573100    0     0    0    1
        2   2.544739    0     0    0    0
        2   2.547696    0     0    0    0
        2   2.511721    0     0    0    2
        2   2.514265    0     0    0    1
        2   2.558518    0     0    0    0
        2   2.437490    0     0    0    2
        2   2.461261    0     0    0    1
        2   2.487183    0     0    0    0
        2   2.360599    0     0    0    0
        2   2.374031    0     0    0    1
        2   2.491576    0     0    0    0
        2   2.448063    0     0    0    1
        2   2.431369    0     0    0    1
        2   2.512328    0     0    0    0
        2   2.502966    0     0    0    0
        2   2.368023    0     0    0    1
        2   2.388607    0     0    0    0
        2   2.575751    0     0    0    0
        2   2.581969    0     0    0    1
        2   2.545825    0     0    0    0
        2   2.504875    0     0    0    1
        2   2.442112    0     0    0    0
        2   2.525133    0     0    0    0
        2   2.523438    0     0    0    0
        2   2.424290    0     0    0    1
        2   2.449430    0     0    0    1
        2   2.415960    0     0    0    0
        2   2.482656    0     0    0    2
